Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1.conv,"(163, 0, 0, 2)",17,10000,215,9783,2
1,conv1.conv,"(62, 0, 0, 2)",6,10000,9446,554,0
2,conv1.conv,"(173, 2, 2, 0)",27,10000,0,9997,3
3,conv1.conv,"(8, 0, 0, 0)",14,10000,27,9970,3
4,conv1.conv,"(129, 2, 0, 2)",12,10000,426,9574,0
5,conv1.conv,"(183, 2, 2, 2)",26,10000,0,9050,950
6,conv1.conv,"(56, 1, 2, 1)",0,10000,9992,8,0
7,conv1.conv,"(40, 2, 1, 1)",17,10000,0,9999,1
8,conv1.conv,"(39, 0, 1, 0)",5,10000,9377,623,0
9,conv1.conv,"(97, 0, 1, 1)",16,10000,43,9955,2
10,conv1.conv,"(11, 2, 1, 2)",7,10000,9112,888,0
11,conv1.conv,"(96, 0, 2, 1)",23,10000,6,9994,0
12,conv1.conv,"(147, 0, 2, 0)",2,10000,9704,296,0
13,conv1.conv,"(169, 0, 1, 0)",14,10000,0,10000,0
14,conv1.conv,"(25, 1, 1, 1)",23,10000,4,9988,8
15,conv1.conv,"(41, 1, 1, 0)",17,10000,0,10000,0
16,inception3a.branch1.conv,"(9, 155, 0, 0)",10,10000,9991,9,0
17,inception3a.branch1.conv,"(59, 97, 0, 0)",20,10000,642,9358,0
18,inception3a.branch1.conv,"(7, 58, 0, 0)",25,10000,19,9981,0
19,inception3a.branch1.conv,"(34, 16, 0, 0)",13,10000,3811,6189,0
20,inception3a.branch1.conv,"(63, 101, 0, 0)",16,10000,8563,1437,0
21,inception3a.branch1.conv,"(17, 63, 0, 0)",25,10000,9902,98,0
22,inception3a.branch1.conv,"(46, 56, 0, 0)",5,10000,9920,80,0
23,inception3a.branch1.conv,"(6, 28, 0, 0)",27,10000,0,10000,0
24,inception3a.branch1.conv,"(8, 98, 0, 0)",16,10000,9925,75,0
25,inception3a.branch1.conv,"(1, 174, 0, 0)",21,10000,429,9571,0
26,inception3a.branch1.conv,"(14, 75, 0, 0)",29,10000,0,9003,997
27,inception3a.branch1.conv,"(0, 184, 0, 0)",6,10000,9803,197,0
28,inception3a.branch1.conv,"(38, 163, 0, 0)",23,10000,44,9956,0
29,inception3a.branch1.conv,"(20, 138, 0, 0)",31,10000,3073,6927,0
30,inception3a.branch1.conv,"(2, 28, 0, 0)",15,10000,28,9972,0
31,inception3a.branch1.conv,"(7, 61, 0, 0)",31,10000,2832,7168,0
32,inception3a.branch1.conv,"(8, 136, 0, 0)",30,10000,9897,103,0
33,inception3a.branch1.conv,"(21, 67, 0, 0)",12,10000,18,9982,0
34,inception3a.branch1.conv,"(39, 102, 0, 0)",28,10000,789,9211,0
35,inception3a.branch1.conv,"(15, 63, 0, 0)",21,10000,3414,6586,0
36,inception3a.branch1.conv,"(2, 150, 0, 0)",0,10000,10000,0,0
37,inception3a.branch1.conv,"(9, 181, 0, 0)",4,10000,6,9993,1
38,inception3a.branch1.conv,"(4, 84, 0, 0)",17,10000,0,8970,1030
39,inception3a.branch1.conv,"(62, 54, 0, 0)",15,10000,2071,7929,0
40,inception3a.branch1.conv,"(60, 104, 0, 0)",6,10000,31,9969,0
41,inception3a.branch1.conv,"(55, 90, 0, 0)",29,10000,0,10000,0
42,inception3a.branch1.conv,"(6, 172, 0, 0)",25,10000,9762,238,0
43,inception3a.branch1.conv,"(43, 27, 0, 0)",12,10000,66,9934,0
44,inception3a.branch1.conv,"(57, 35, 0, 0)",17,10000,0,1030,8970
45,inception3a.branch1.conv,"(59, 63, 0, 0)",6,10000,10000,0,0
46,inception3a.branch1.conv,"(6, 166, 0, 0)",15,10000,95,9905,0
47,inception3a.branch1.conv,"(21, 104, 0, 0)",13,10000,10000,0,0
48,inception3a.branch1.conv,"(51, 15, 0, 0)",0,10000,9952,48,0
49,inception3a.branch1.conv,"(49, 67, 0, 0)",27,10000,43,9915,42
50,inception3a.branch1.conv,"(62, 39, 0, 0)",13,10000,10000,0,0
51,inception3a.branch1.conv,"(7, 148, 0, 0)",3,10000,10000,0,0
52,inception3a.branch1.conv,"(6, 149, 0, 0)",3,10000,9,9974,17
53,inception3a.branch2.0.conv,"(65, 20, 0, 0)",4,10000,10000,0,0
54,inception3a.branch2.0.conv,"(86, 60, 0, 0)",15,10000,0,9999,1
55,inception3a.branch2.0.conv,"(74, 152, 0, 0)",26,10000,9796,204,0
56,inception3a.branch2.0.conv,"(84, 149, 0, 0)",13,10000,72,9928,0
57,inception3a.branch2.0.conv,"(85, 183, 0, 0)",16,10000,9601,399,0
58,inception3a.branch2.0.conv,"(50, 33, 0, 0)",20,10000,10000,0,0
59,inception3a.branch2.0.conv,"(9, 2, 0, 0)",4,10000,9986,14,0
60,inception3a.branch2.0.conv,"(68, 54, 0, 0)",22,10000,2750,7250,0
61,inception3a.branch2.0.conv,"(8, 62, 0, 0)",10,10000,59,9940,1
62,inception3a.branch2.0.conv,"(56, 139, 0, 0)",19,10000,4,9982,14
63,inception3a.branch2.0.conv,"(84, 26, 0, 0)",7,10000,118,969,8913
64,inception3a.branch2.0.conv,"(13, 190, 0, 0)",18,10000,3160,6840,0
65,inception3a.branch2.0.conv,"(77, 53, 0, 0)",16,10000,9893,107,0
66,inception3a.branch2.0.conv,"(64, 125, 0, 0)",5,10000,9944,56,0
67,inception3a.branch2.0.conv,"(81, 108, 0, 0)",0,10000,10000,0,0
68,inception3a.branch2.0.conv,"(42, 33, 0, 0)",28,10000,10000,0,0
69,inception3a.branch2.0.conv,"(70, 180, 0, 0)",7,10000,9445,555,0
70,inception3a.branch2.0.conv,"(9, 176, 0, 0)",23,10000,10000,0,0
71,inception3a.branch2.0.conv,"(74, 141, 0, 0)",8,10000,10000,0,0
72,inception3a.branch2.0.conv,"(5, 78, 0, 0)",22,10000,613,9387,0
73,inception3a.branch2.0.conv,"(26, 174, 0, 0)",22,10000,0,9996,4
74,inception3a.branch2.0.conv,"(71, 104, 0, 0)",10,10000,10000,0,0
75,inception3a.branch2.0.conv,"(22, 105, 0, 0)",21,10000,9999,1,0
76,inception3a.branch2.0.conv,"(52, 171, 0, 0)",10,10000,10000,0,0
77,inception3a.branch2.0.conv,"(89, 27, 0, 0)",30,10000,68,9931,1
78,inception3a.branch2.0.conv,"(28, 51, 0, 0)",19,10000,8927,1073,0
79,inception3a.branch2.0.conv,"(29, 57, 0, 0)",25,10000,10000,0,0
80,inception3a.branch2.0.conv,"(42, 71, 0, 0)",22,10000,231,9767,2
81,inception3a.branch2.0.conv,"(82, 130, 0, 0)",1,10000,10000,0,0
82,inception3a.branch2.0.conv,"(14, 66, 0, 0)",2,10000,10000,0,0
83,inception3a.branch2.0.conv,"(13, 152, 0, 0)",20,10000,10000,0,0
84,inception3a.branch2.0.conv,"(55, 155, 0, 0)",12,10000,10000,0,0
85,inception3a.branch2.0.conv,"(32, 11, 0, 0)",12,10000,1107,8892,1
86,inception3a.branch2.0.conv,"(46, 110, 0, 0)",20,10000,0,9998,2
87,inception3a.branch2.0.conv,"(84, 31, 0, 0)",26,10000,10000,0,0
88,inception3a.branch2.0.conv,"(41, 103, 0, 0)",12,10000,9096,904,0
89,inception3a.branch2.0.conv,"(53, 170, 0, 0)",19,10000,0,10000,0
90,inception3a.branch2.0.conv,"(51, 140, 0, 0)",18,10000,10000,0,0
91,inception3a.branch2.0.conv,"(26, 110, 0, 0)",28,10000,0,9999,1
92,inception3a.branch2.0.conv,"(56, 172, 0, 0)",10,10000,10000,0,0
93,inception3a.branch2.0.conv,"(84, 21, 0, 0)",5,10000,8164,1836,0
94,inception3a.branch2.0.conv,"(30, 172, 0, 0)",12,10000,10000,0,0
95,inception3a.branch2.0.conv,"(18, 6, 0, 0)",30,10000,166,9833,1
96,inception3a.branch2.0.conv,"(78, 18, 0, 0)",12,10000,0,9999,1
97,inception3a.branch2.0.conv,"(91, 178, 0, 0)",25,10000,10000,0,0
98,inception3a.branch2.0.conv,"(31, 37, 0, 0)",27,10000,10000,0,0
99,inception3a.branch2.0.conv,"(28, 45, 0, 0)",15,10000,0,9999,1
100,inception3a.branch2.0.conv,"(15, 116, 0, 0)",20,10000,10000,0,0
101,inception3a.branch2.0.conv,"(56, 156, 0, 0)",10,10000,7657,2343,0
102,inception3a.branch2.0.conv,"(95, 121, 0, 0)",15,10000,10000,0,0
103,inception3a.branch2.0.conv,"(81, 70, 0, 0)",17,10000,0,9999,1
104,inception3a.branch2.0.conv,"(56, 19, 0, 0)",17,10000,0,9999,1
105,inception3a.branch2.0.conv,"(42, 81, 0, 0)",9,10000,10000,0,0
106,inception3a.branch2.0.conv,"(29, 98, 0, 0)",4,10000,1,9998,1
107,inception3a.branch2.0.conv,"(53, 104, 0, 0)",26,10000,10000,0,0
108,inception3a.branch2.0.conv,"(7, 52, 0, 0)",1,10000,0,9998,2
109,inception3a.branch2.1.conv,"(97, 61, 0, 1)",19,10000,0,9999,1
110,inception3a.branch2.1.conv,"(99, 53, 2, 2)",14,10000,1,9997,2
111,inception3a.branch2.1.conv,"(124, 28, 1, 1)",31,10000,135,9864,1
112,inception3a.branch2.1.conv,"(7, 49, 1, 2)",25,10000,10000,0,0
113,inception3a.branch2.1.conv,"(42, 59, 0, 2)",1,10000,10000,0,0
114,inception3a.branch2.1.conv,"(100, 75, 2, 2)",1,10000,0,9999,1
115,inception3a.branch2.1.conv,"(21, 82, 1, 0)",29,10000,7964,2036,0
116,inception3a.branch2.1.conv,"(46, 6, 1, 1)",20,10000,0,9999,1
117,inception3a.branch2.1.conv,"(54, 58, 1, 1)",24,10000,156,9843,1
118,inception3a.branch2.1.conv,"(71, 53, 1, 0)",30,10000,9761,238,1
119,inception3a.branch2.1.conv,"(4, 95, 2, 0)",22,10000,308,9692,0
120,inception3a.branch2.1.conv,"(57, 83, 0, 2)",2,10000,0,9998,2
121,inception3a.branch2.1.conv,"(7, 31, 0, 0)",9,10000,0,9999,1
122,inception3a.branch2.1.conv,"(61, 16, 1, 2)",7,10000,133,9866,1
123,inception3a.branch2.1.conv,"(55, 59, 2, 1)",23,10000,10000,0,0
124,inception3a.branch2.1.conv,"(42, 77, 2, 2)",7,10000,10000,0,0
125,inception3a.branch2.1.conv,"(41, 39, 0, 2)",1,10000,9909,91,0
126,inception3a.branch2.1.conv,"(79, 73, 2, 1)",25,10000,0,992,9008
127,inception3a.branch2.1.conv,"(50, 9, 2, 2)",15,10000,9705,295,0
128,inception3a.branch2.1.conv,"(26, 89, 1, 2)",7,10000,4,9995,1
129,inception3a.branch2.1.conv,"(10, 44, 2, 1)",23,10000,7651,2349,0
130,inception3a.branch2.1.conv,"(17, 64, 2, 1)",0,10000,0,9999,1
