Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(3, 0, 2, 1)",15,10000,14,9985,1
1,conv1,"(7, 0, 2, 0)",5,10000,26,9973,1
2,conv1,"(13, 0, 0, 0)",30,10000,0,929,9071
3,conv1,"(7, 2, 2, 0)",12,10000,19,9980,1
4,conv1,"(13, 0, 1, 2)",17,10000,0,9999,1
5,conv1,"(0, 0, 2, 1)",21,10000,0,9983,17
6,conv1,"(8, 0, 0, 1)",6,10000,134,9866,0
7,conv1,"(2, 1, 0, 1)",22,10000,4,9927,69
8,conv1,"(8, 0, 2, 1)",7,10000,133,9867,0
9,conv1,"(12, 0, 2, 1)",23,10000,0,9988,12
10,conv1,"(6, 2, 0, 0)",14,10000,10000,0,0
11,conv1,"(9, 0, 0, 0)",24,10000,0,9838,162
12,conv1,"(8, 1, 2, 1)",10,10000,126,9874,0
13,conv1,"(11, 1, 0, 2)",17,10000,1,9998,1
14,conv1,"(2, 2, 2, 0)",15,10000,5,9994,1
15,conv1,"(5, 1, 1, 1)",14,10000,525,9475,0
16,conv1,"(10, 0, 0, 0)",20,10000,0,9981,19
17,conv1,"(12, 1, 0, 0)",20,10000,0,9994,6
18,conv1,"(6, 2, 1, 1)",29,10000,10000,0,0
19,conv1,"(4, 1, 0, 0)",16,10000,92,9907,1
20,conv1,"(13, 2, 1, 1)",14,10000,0,10000,0
21,conv1,"(4, 2, 1, 0)",3,10000,165,9835,0
22,conv1,"(3, 0, 2, 0)",27,10000,13,9922,65
23,conv1,"(2, 1, 1, 2)",29,10000,1,9854,145
24,conv1,"(8, 2, 0, 2)",7,10000,149,9851,0
25,conv1,"(8, 2, 1, 0)",18,10000,116,9883,1
26,conv1,"(13, 0, 1, 0)",16,10000,0,9998,2
27,layer1.0.conv1,"(5, 3, 2, 1)",12,10000,58,9941,1
28,layer1.0.conv1,"(4, 11, 0, 2)",0,10000,966,9033,1
29,layer1.0.conv1,"(10, 15, 0, 0)",23,10000,0,9988,12
30,layer1.0.conv1,"(9, 7, 0, 0)",5,10000,46,9953,1
31,layer1.0.conv1,"(2, 15, 0, 2)",8,10000,10000,0,0
32,layer1.0.conv1,"(4, 15, 2, 0)",16,10000,0,10000,0
33,layer1.0.conv1,"(13, 6, 2, 2)",12,10000,10000,0,0
34,layer1.0.conv1,"(9, 12, 2, 2)",23,10000,0,9998,2
35,layer1.0.conv1,"(14, 14, 0, 0)",14,10000,10000,0,0
36,layer1.0.conv1,"(2, 10, 0, 2)",14,10000,10000,0,0
37,layer1.0.conv1,"(7, 0, 0, 2)",3,10000,30,9969,1
38,layer1.0.conv1,"(7, 2, 0, 1)",4,10000,421,9578,1
39,layer1.0.conv1,"(7, 8, 2, 1)",13,10000,670,9329,1
40,layer1.0.conv1,"(4, 15, 0, 1)",26,10000,0,9995,5
41,layer1.0.conv1,"(6, 3, 0, 2)",27,10000,20,9970,10
42,layer1.0.conv1,"(11, 13, 1, 1)",3,10000,118,9882,0
43,layer1.0.conv1,"(3, 1, 1, 2)",21,10000,0,9998,2
44,layer1.0.conv1,"(3, 7, 0, 0)",28,10000,66,9914,20
45,layer1.0.conv1,"(4, 13, 0, 1)",29,10000,0,9961,39
46,layer1.0.conv1,"(7, 2, 1, 2)",6,10000,40,9959,1
47,layer1.0.conv1,"(1, 0, 0, 0)",10,10000,284,9716,0
48,layer1.0.conv1,"(13, 15, 1, 0)",25,10000,0,9998,2
49,layer1.0.conv1,"(1, 5, 1, 0)",24,10000,1980,8019,1
50,layer1.0.conv1,"(8, 14, 1, 1)",31,10000,10000,0,0
51,layer1.0.conv1,"(4, 6, 1, 0)",3,10000,10000,0,0
52,layer1.0.conv1,"(1, 10, 0, 0)",30,10000,0,947,9053
53,layer1.0.conv1,"(5, 1, 2, 0)",11,10000,8,9992,0
54,layer1.0.conv1,"(2, 2, 2, 0)",25,10000,9999,1,0
55,layer1.0.conv1,"(3, 7, 2, 2)",2,10000,377,9622,1
56,layer1.0.conv1,"(2, 13, 2, 2)",20,10000,10000,0,0
57,layer1.0.conv1,"(8, 6, 2, 2)",20,10000,10000,0,0
58,layer1.0.conv1,"(7, 8, 1, 0)",19,10000,328,9670,2
59,layer1.0.conv1,"(14, 10, 0, 0)",29,10000,634,9366,0
60,layer1.0.conv1,"(3, 2, 2, 0)",16,10000,4,9995,1
61,layer1.0.conv1,"(4, 11, 0, 0)",23,10000,1,9977,22
62,layer1.0.conv1,"(9, 5, 1, 2)",19,10000,696,9304,0
63,layer1.0.conv1,"(0, 9, 2, 0)",8,10000,5,9994,1
64,layer1.0.conv1,"(8, 3, 0, 2)",9,10000,10000,0,0
65,layer1.0.conv1,"(8, 9, 2, 0)",21,10000,10000,0,0
66,layer1.0.conv1,"(6, 8, 2, 1)",16,10000,131,9869,0
67,layer1.0.conv1,"(1, 2, 2, 1)",17,10000,275,9724,1
68,layer1.0.conv1,"(1, 0, 1, 0)",16,10000,261,9738,1
69,layer1.0.conv1,"(5, 14, 2, 2)",27,10000,10000,0,0
70,layer1.0.conv1,"(0, 3, 0, 2)",9,10000,24,9976,0
71,layer1.0.conv1,"(1, 11, 2, 2)",9,10000,690,9310,0
72,layer1.0.conv1,"(13, 4, 0, 1)",23,10000,121,9868,11
73,layer1.0.conv1,"(1, 11, 0, 2)",15,10000,507,9492,1
74,layer1.0.conv1,"(3, 11, 2, 1)",9,10000,247,9752,1
75,layer1.0.conv1,"(7, 5, 0, 1)",1,10000,8661,1338,1
76,layer1.0.conv1,"(5, 10, 1, 2)",15,10000,0,9998,2
77,layer1.0.conv1,"(8, 5, 2, 0)",24,10000,10000,0,0
78,layer1.0.conv1,"(1, 15, 0, 0)",29,10000,789,9208,3
79,layer1.0.conv1,"(11, 9, 0, 0)",1,10000,480,9520,0
80,layer1.0.conv1,"(6, 12, 1, 1)",4,10000,7,9992,1
81,layer1.0.conv1,"(8, 11, 2, 2)",25,10000,10000,0,0
82,layer1.0.conv1,"(10, 0, 0, 1)",11,10000,0,9999,1
83,layer1.0.conv1,"(8, 1, 0, 2)",27,10000,10000,0,0
84,layer1.0.conv1,"(11, 10, 1, 2)",7,10000,47,9953,0
85,layer1.0.conv1,"(12, 6, 1, 0)",27,10000,10000,0,0
86,layer1.0.conv1,"(0, 6, 1, 1)",4,10000,10000,0,0
87,layer1.0.conv1,"(10, 10, 2, 0)",19,10000,0,9997,3
88,layer1.0.conv1,"(9, 13, 1, 1)",18,10000,0,9998,2
89,layer1.0.conv1,"(4, 6, 1, 2)",24,10000,10000,0,0
90,layer1.0.conv1,"(5, 9, 1, 2)",0,10000,1028,8972,0
91,layer1.0.conv1,"(9, 9, 0, 1)",20,10000,0,10000,0
92,layer1.0.conv1,"(14, 14, 1, 2)",13,10000,10000,0,0
93,layer1.0.conv1,"(15, 5, 2, 0)",18,10000,608,9391,1
94,layer1.0.conv1,"(10, 2, 0, 2)",19,10000,5,9994,1
95,layer1.0.conv1,"(7, 6, 0, 0)",2,10000,10000,0,0
96,layer1.0.conv1,"(7, 15, 2, 0)",29,10000,11,9986,3
97,layer1.0.conv1,"(13, 6, 2, 2)",24,10000,10000,0,0
98,layer1.0.conv1,"(15, 12, 0, 0)",0,10000,57,9942,1
99,layer1.0.conv1,"(3, 13, 0, 0)",29,10000,0,9978,22
100,layer1.0.conv1,"(1, 7, 0, 1)",8,10000,502,9498,0
101,layer1.0.conv1,"(14, 10, 1, 2)",27,10000,835,9164,1
102,layer1.0.conv1,"(14, 5, 2, 1)",28,10000,4644,5356,0
103,layer1.0.conv1,"(8, 7, 2, 1)",31,10000,10000,0,0
104,layer1.0.conv1,"(7, 8, 1, 0)",18,10000,328,9670,2
105,layer1.0.conv1,"(7, 8, 1, 1)",5,10000,978,9021,1
106,layer1.0.conv1,"(4, 4, 0, 1)",9,10000,104,9896,0
107,layer1.0.conv1,"(6, 2, 1, 1)",21,10000,5,9993,2
108,layer1.0.conv1,"(14, 13, 0, 0)",26,10000,525,9467,8
109,layer1.0.conv1,"(12, 0, 2, 1)",30,10000,0,979,9021
110,layer1.0.conv1,"(0, 11, 1, 1)",26,10000,3,9929,68
111,layer1.0.conv1,"(7, 15, 0, 1)",27,10000,33,9959,8
112,layer1.0.conv1,"(15, 0, 1, 1)",25,10000,0,9883,117
113,layer1.0.conv1,"(5, 14, 0, 2)",1,10000,10000,0,0
114,layer1.0.conv1,"(12, 0, 0, 2)",27,10000,459,9541,0
115,layer1.0.conv1,"(4, 14, 0, 0)",16,10000,10000,0,0
116,layer1.0.conv1,"(12, 10, 0, 1)",20,10000,352,9648,0
117,layer1.0.conv1,"(10, 12, 1, 1)",16,10000,0,9999,1
118,layer1.0.conv1,"(2, 15, 0, 2)",3,10000,10000,0,0
119,layer1.0.conv1,"(11, 7, 2, 0)",2,10000,926,9074,0
120,layer1.0.conv1,"(0, 7, 0, 0)",9,10000,30,9969,1
121,layer1.0.conv1,"(7, 4, 1, 2)",7,10000,250,9750,0
122,layer1.0.conv1,"(6, 14, 2, 1)",23,10000,10000,0,0
123,layer1.0.conv1,"(5, 3, 0, 1)",6,10000,79,9921,0
124,layer1.0.conv1,"(0, 9, 2, 2)",24,10000,0,9960,40
125,layer1.0.conv1,"(12, 6, 0, 2)",15,10000,10000,0,0
126,layer1.0.conv1,"(3, 9, 2, 2)",7,10000,2,9998,0
127,layer1.0.conv1,"(1, 11, 2, 1)",23,10000,400,9582,18
128,layer1.0.conv1,"(2, 10, 0, 1)",31,10000,10000,0,0
129,layer1.0.conv1,"(3, 13, 1, 2)",29,10000,0,9982,18
130,layer1.0.conv1,"(4, 13, 0, 2)",17,10000,0,9999,1
131,layer1.0.conv1,"(15, 14, 1, 2)",17,10000,10000,0,0
132,layer1.0.conv1,"(10, 7, 0, 1)",28,10000,20,9959,21
133,layer1.0.conv1,"(7, 14, 2, 2)",24,10000,10000,0,0
134,layer1.0.conv1,"(10, 0, 1, 1)",11,10000,0,10000,0
135,layer1.0.conv1,"(15, 6, 1, 1)",21,10000,10000,0,0
136,layer1.0.conv1,"(8, 8, 2, 0)",12,10000,10000,0,0
137,layer1.0.conv1,"(2, 7, 2, 1)",31,10000,10000,0,0
138,layer1.0.conv1,"(7, 15, 2, 2)",31,10000,11,9985,4
139,layer1.0.conv1,"(14, 0, 0, 1)",14,10000,523,9475,2
140,layer1.0.conv1,"(12, 7, 1, 2)",23,10000,479,9516,5
141,layer1.0.conv1,"(15, 11, 1, 2)",21,10000,1,9996,3
142,layer1.0.conv1,"(11, 14, 1, 1)",16,10000,10000,0,0
143,layer1.0.conv1,"(7, 3, 2, 0)",20,10000,30,9970,0
144,layer1.0.conv1,"(3, 5, 0, 0)",30,10000,493,1024,8483
145,layer1.0.conv1,"(8, 9, 0, 0)",18,10000,10000,0,0
146,layer1.0.conv1,"(7, 11, 0, 1)",0,10000,6519,3481,0
147,layer1.0.conv1,"(4, 8, 0, 0)",18,10000,126,9873,1
148,layer1.0.conv1,"(4, 15, 0, 0)",18,10000,0,10000,0
149,layer1.0.conv1,"(15, 15, 1, 1)",11,10000,0,10000,0
150,layer1.0.conv1,"(1, 8, 1, 0)",4,10000,3526,6473,1
151,layer1.0.conv1,"(12, 15, 0, 2)",3,10000,9122,878,0
152,layer1.0.conv1,"(4, 4, 2, 1)",5,10000,542,9457,1
153,layer1.0.conv1,"(7, 3, 2, 1)",14,10000,50,9950,0
154,layer1.0.conv1,"(12, 14, 1, 1)",27,10000,10000,0,0
155,layer1.0.conv1,"(9, 1, 2, 2)",6,10000,1,9999,0
156,layer1.0.conv1,"(6, 6, 1, 2)",5,10000,10000,0,0
157,layer1.0.conv1,"(5, 7, 0, 2)",4,10000,220,9779,1
158,layer1.0.conv1,"(5, 0, 1, 1)",30,10000,0,9901,99
159,layer1.0.conv1,"(9, 1, 0, 1)",18,10000,0,10000,0
160,layer1.0.conv1,"(14, 2, 2, 0)",16,10000,713,9287,0
161,layer1.0.conv1,"(6, 13, 0, 2)",14,10000,0,10000,0
162,layer1.0.conv1,"(4, 8, 0, 0)",3,10000,736,9264,0
163,layer1.0.conv1,"(5, 9, 2, 2)",18,10000,6,9994,0
164,layer1.0.conv1,"(14, 3, 1, 2)",19,10000,634,9365,1
165,layer1.0.conv1,"(12, 8, 2, 2)",31,10000,3217,6782,1
166,layer1.0.conv1,"(14, 2, 2, 0)",27,10000,629,9366,5
167,layer1.0.conv1,"(10, 8, 0, 0)",14,10000,177,9822,1
168,layer1.0.conv1,"(0, 8, 2, 0)",11,10000,150,9850,0
169,layer1.0.conv1,"(15, 14, 1, 0)",27,10000,10000,0,0
170,layer1.0.conv2,"(15, 2, 1, 1)",26,10000,9999,1,0
171,layer1.0.conv2,"(10, 10, 2, 0)",10,10000,0,10000,0
172,layer1.0.conv2,"(10, 13, 2, 1)",18,10000,0,10000,0
173,layer1.0.conv2,"(12, 1, 1, 0)",20,10000,302,9696,2
174,layer1.0.conv2,"(8, 10, 0, 1)",0,10000,126,9873,1
175,layer1.0.conv2,"(14, 13, 0, 0)",23,10000,10000,0,0
176,layer1.0.conv2,"(15, 14, 0, 0)",17,10000,921,9079,0
177,layer1.0.conv2,"(4, 9, 1, 2)",31,10000,46,9949,5
178,layer1.0.conv2,"(3, 0, 2, 2)",15,10000,2,9996,2
179,layer1.0.conv2,"(5, 9, 2, 0)",26,10000,0,9960,40
180,layer1.0.conv2,"(2, 7, 0, 1)",7,10000,86,9913,1
181,layer1.0.conv2,"(4, 15, 2, 1)",17,10000,42,9956,2
182,layer1.0.conv2,"(13, 15, 1, 0)",29,10000,0,9995,5
183,layer1.0.conv2,"(4, 12, 0, 2)",8,10000,1558,8442,0
184,layer1.0.conv2,"(2, 8, 1, 1)",17,10000,10000,0,0
185,layer1.0.conv2,"(0, 9, 2, 1)",31,10000,0,9981,19
186,layer1.0.conv2,"(4, 14, 2, 1)",22,10000,1304,8695,1
187,layer1.0.conv2,"(10, 12, 1, 1)",12,10000,439,9561,0
188,layer1.0.conv2,"(7, 12, 0, 1)",2,10000,2436,7564,0
189,layer1.0.conv2,"(10, 15, 2, 1)",24,10000,0,9998,2
190,layer1.0.conv2,"(4, 15, 0, 0)",21,10000,59,9938,3
191,layer1.0.conv2,"(3, 14, 0, 2)",29,10000,839,9153,8
192,layer1.0.conv2,"(0, 4, 1, 2)",9,10000,0,9999,1
193,layer1.0.conv2,"(2, 15, 1, 1)",25,10000,0,9955,45
194,layer1.0.conv2,"(2, 10, 2, 2)",24,10000,0,9941,59
195,layer1.0.conv2,"(10, 15, 2, 0)",4,10000,7,9992,1
196,layer1.0.conv2,"(7, 9, 0, 2)",5,10000,1,9999,0
197,layer1.0.conv2,"(13, 3, 2, 2)",6,10000,74,9925,1
198,layer1.0.conv2,"(14, 5, 2, 1)",1,10000,10000,0,0
199,layer1.0.conv2,"(1, 10, 0, 1)",22,10000,0,9995,5
200,layer1.0.conv2,"(11, 13, 0, 0)",26,10000,0,9994,6
201,layer1.0.conv2,"(5, 5, 0, 0)",24,10000,5771,4228,1
202,layer1.0.conv2,"(7, 15, 2, 0)",14,10000,0,9999,1
203,layer1.0.conv2,"(14, 8, 1, 1)",0,10000,10000,0,0
204,layer1.0.conv2,"(14, 9, 2, 2)",10,10000,10000,0,0
205,layer1.0.conv2,"(2, 14, 1, 2)",19,10000,642,9357,1
