Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,features.conv0,"(14, 0, 2, 1)",15,10000,0,10000,0
1,features.conv0,"(28, 0, 2, 0)",5,10000,1647,8353,0
2,features.conv0,"(54, 0, 0, 0)",13,10000,0,10000,0
3,features.conv0,"(29, 2, 2, 0)",12,10000,10000,0,0
4,features.denseblock1.denselayer1.conv1,"(107, 28, 0, 0)",0,10000,10000,0,0
5,features.denseblock1.denselayer1.conv1,"(40, 54, 0, 0)",9,10000,10000,0,0
6,features.denseblock1.denselayer1.conv1,"(55, 43, 0, 0)",24,10000,10000,0,0
7,features.denseblock1.denselayer1.conv1,"(24, 45, 0, 0)",2,10000,10000,0,0
8,features.denseblock1.denselayer1.conv1,"(117, 15, 0, 0)",18,10000,476,9524,0
9,features.denseblock1.denselayer1.conv1,"(92, 24, 0, 0)",14,10000,1,9999,0
10,features.denseblock1.denselayer1.conv1,"(74, 10, 0, 0)",24,10000,391,9608,1
11,features.denseblock1.denselayer1.conv1,"(71, 58, 0, 0)",23,10000,0,9997,3
12,features.denseblock1.denselayer1.conv1,"(90, 26, 0, 0)",10,10000,10000,0,0
13,features.denseblock1.denselayer1.conv1,"(62, 20, 0, 0)",17,10000,714,9285,1
14,features.denseblock1.denselayer1.conv1,"(56, 41, 0, 0)",2,10000,10000,0,0
15,features.denseblock1.denselayer1.conv1,"(80, 51, 0, 0)",13,10000,4960,5040,0
16,features.denseblock1.denselayer1.conv1,"(80, 27, 0, 0)",29,10000,10000,0,0
17,features.denseblock1.denselayer1.conv1,"(36, 33, 0, 0)",16,10000,6,9993,1
18,features.denseblock1.denselayer1.conv1,"(109, 51, 0, 0)",8,10000,10000,0,0
19,features.denseblock1.denselayer1.conv1,"(126, 11, 0, 0)",9,10000,10000,0,0
20,features.denseblock1.denselayer1.conv1,"(40, 54, 0, 0)",24,10000,0,9999,1
21,features.denseblock1.denselayer1.conv1,"(119, 32, 0, 0)",17,10000,969,9031,0
22,features.denseblock1.denselayer1.conv1,"(87, 14, 0, 0)",10,10000,10000,0,0
23,features.denseblock1.denselayer1.conv1,"(116, 0, 0, 0)",6,10000,10000,0,0
24,features.denseblock1.denselayer1.conv2,"(19, 50, 0, 1)",10,10000,324,9675,1
25,features.denseblock1.denselayer1.conv2,"(0, 82, 1, 0)",7,10000,9910,90,0
