Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(7, 0, 2, 1)",15,10000,10000,0,0
1,conv1,"(14, 0, 2, 0)",5,10000,10000,0,0
2,conv1,"(27, 0, 0, 0)",13,10000,701,9298,1
3,conv1,"(14, 2, 2, 0)",12,10000,9998,2,0
4,conv1,"(26, 0, 1, 2)",17,10000,0,9999,1
5,conv1,"(0, 0, 2, 1)",21,10000,74,9923,3
6,layers.0.conv1,"(17, 9, 0, 0)",6,10000,1000,9000,0
7,layers.0.conv1,"(5, 24, 0, 0)",22,10000,953,9047,0
8,layers.0.conv1,"(16, 2, 0, 0)",24,10000,1063,8937,0
9,layers.0.conv1,"(5, 18, 0, 0)",4,10000,1144,8856,0
10,layers.0.conv1,"(2, 14, 0, 0)",14,10000,1147,8853,0
11,layers.0.conv1,"(6, 24, 0, 0)",23,10000,10000,0,0
12,layers.0.conv1,"(10, 23, 0, 0)",17,10000,2161,7839,0
13,layers.0.conv1,"(4, 10, 0, 0)",29,10000,10000,0,0
14,layers.0.conv2,"(24, 0, 2, 2)",14,10000,1092,8908,0
15,layers.0.conv2,"(20, 0, 0, 0)",20,10000,827,9173,0
16,layers.0.conv3,"(12, 17, 0, 0)",20,10000,1216,8784,0
17,layers.0.conv3,"(6, 31, 0, 0)",9,10000,10000,0,0
18,layers.0.conv3,"(8, 8, 0, 0)",27,10000,311,1954,7735
19,layers.0.conv3,"(12, 23, 0, 0)",31,10000,527,9473,0
20,layers.0.shortcut.0,"(2, 3, 0, 0)",10,10000,10000,0,0
21,layers.0.shortcut.0,"(13, 4, 0, 0)",29,10000,955,9045,0
22,layers.0.shortcut.0,"(8, 0, 0, 0)",21,10000,1481,8519,0
23,layers.0.shortcut.0,"(3, 18, 0, 0)",29,10000,760,9240,0
24,layers.1.conv1,"(0, 8, 0, 0)",19,10000,10000,0,0
25,layers.1.conv1,"(81, 6, 0, 0)",10,10000,1566,8434,0
26,layers.1.conv1,"(69, 0, 0, 0)",1,10000,10000,0,0
27,layers.1.conv1,"(14, 11, 0, 0)",3,10000,10000,0,0
28,layers.1.conv1,"(30, 2, 0, 0)",4,10000,986,9014,0
29,layers.1.conv1,"(68, 4, 0, 0)",10,10000,10000,0,0
30,layers.1.conv1,"(33, 13, 0, 0)",19,10000,1238,8762,0
31,layers.1.conv1,"(51, 11, 0, 0)",7,10000,795,9205,0
32,layers.1.conv1,"(31, 7, 0, 0)",1,10000,1228,8772,0
33,layers.1.conv1,"(75, 7, 0, 0)",4,10000,10000,0,0
34,layers.1.conv1,"(90, 1, 0, 0)",2,10000,10000,0,0
35,layers.1.conv2,"(42, 0, 2, 0)",17,10000,1893,8107,0
36,layers.1.conv2,"(85, 0, 0, 2)",8,10000,10000,0,0
37,layers.1.conv2,"(92, 0, 0, 1)",26,10000,1023,8977,0
38,layers.1.conv2,"(24, 0, 0, 2)",27,10000,10000,0,0
39,layers.1.conv2,"(45, 0, 1, 1)",3,10000,816,9184,0
40,layers.1.conv2,"(86, 0, 0, 1)",21,10000,9684,316,0
41,layers.1.conv3,"(3, 31, 0, 0)",28,10000,2343,7657,0
42,layers.1.conv3,"(4, 54, 0, 0)",29,10000,628,9372,0
43,layers.1.conv3,"(7, 9, 0, 0)",3,10000,2780,7220,0
44,layers.1.conv3,"(20, 69, 0, 0)",15,10000,5815,4185,0
45,layers.1.conv3,"(5, 52, 0, 0)",13,10000,975,9025,0
46,layers.1.conv3,"(12, 7, 0, 0)",0,10000,10000,0,0
47,layers.1.conv3,"(12, 33, 0, 0)",27,10000,876,9124,0
48,layers.1.conv3,"(22, 93, 0, 0)",12,10000,10000,0,0
49,layers.1.conv3,"(9, 27, 0, 0)",20,10000,10000,0,0
50,layers.1.conv3,"(1, 6, 0, 0)",3,10000,10000,0,0
51,layers.1.conv3,"(16, 10, 0, 0)",4,10000,1200,8800,0
52,layers.1.conv3,"(21, 30, 0, 0)",15,10000,931,9069,0
53,layers.1.conv3,"(18, 76, 0, 0)",26,10000,10000,0,0
54,layers.1.conv3,"(21, 74, 0, 0)",13,10000,1089,8911,0
55,layers.1.conv3,"(21, 91, 0, 0)",16,10000,1178,8822,0
56,layers.1.conv3,"(12, 16, 0, 0)",20,10000,5255,4745,0
57,layers.1.conv3,"(2, 1, 0, 0)",4,10000,2543,7457,0
58,layers.1.shortcut.0,"(17, 6, 0, 0)",22,10000,956,9044,0
59,layers.1.shortcut.0,"(2, 7, 0, 0)",10,10000,1601,8399,0
60,layers.1.shortcut.0,"(14, 9, 0, 0)",6,10000,10000,0,0
61,layers.2.conv1,"(34, 8, 0, 0)",9,10000,983,9017,0
62,layers.2.conv1,"(69, 9, 0, 0)",13,10000,551,9446,3
63,layers.2.conv1,"(67, 16, 0, 0)",3,10000,10000,0,0
64,layers.2.conv1,"(23, 20, 0, 0)",2,10000,434,9564,2
65,layers.2.conv1,"(0, 10, 0, 0)",10,10000,10000,0,0
66,layers.2.conv1,"(113, 17, 0, 0)",7,10000,1059,8941,0
67,layers.2.conv1,"(19, 22, 0, 0)",23,10000,1001,8999,0
68,layers.2.conv1,"(141, 4, 0, 0)",2,10000,1093,8907,0
69,layers.2.conv1,"(78, 11, 0, 0)",13,10000,10000,0,0
70,layers.2.conv1,"(63, 21, 0, 0)",26,10000,1511,8489,0
71,layers.2.conv1,"(39, 7, 0, 0)",26,10000,2879,7121,0
72,layers.2.conv1,"(6, 5, 0, 0)",15,10000,10000,0,0
73,layers.2.conv1,"(68, 5, 0, 0)",2,10000,1266,8734,0
74,layers.2.conv1,"(120, 7, 0, 0)",22,10000,1178,8821,1
75,layers.2.conv1,"(78, 7, 0, 0)",12,10000,10000,0,0
76,layers.2.conv1,"(102, 10, 0, 0)",17,10000,2274,7726,0
77,layers.2.conv1,"(89, 20, 0, 0)",1,10000,1652,8348,0
78,layers.2.conv1,"(29, 8, 0, 0)",2,10000,10000,0,0
79,layers.2.conv1,"(27, 19, 0, 0)",20,10000,10000,0,0
80,layers.2.conv1,"(111, 19, 0, 0)",12,10000,1388,8612,0
81,layers.2.conv1,"(65, 1, 0, 0)",12,10000,1138,8862,0
82,layers.2.conv1,"(93, 13, 0, 0)",20,10000,10000,0,0
83,layers.2.conv1,"(31, 23, 0, 0)",26,10000,957,9043,0
84,layers.2.conv1,"(83, 12, 0, 0)",12,10000,10000,0,0
85,layers.2.conv1,"(107, 21, 0, 0)",19,10000,10000,0,0
86,layers.2.conv2,"(103, 0, 1, 1)",13,10000,827,9172,1
87,layers.2.conv2,"(110, 0, 1, 1)",28,10000,3570,6430,0
88,layers.2.conv2,"(54, 0, 2, 0)",5,10000,10000,0,0
89,layers.2.conv2,"(72, 0, 0, 0)",19,10000,1504,8496,0
90,layers.2.conv2,"(57, 0, 0, 0)",2,10000,1012,8988,0
91,layers.2.conv2,"(62, 0, 2, 0)",29,10000,871,9129,0
92,layers.2.conv2,"(106, 0, 2, 2)",24,10000,830,9170,0
93,layers.2.conv2,"(126, 0, 0, 0)",0,10000,10000,0,0
94,layers.2.conv2,"(27, 0, 0, 0)",29,10000,966,9034,0
95,layers.2.conv2,"(12, 0, 0, 1)",8,10000,2438,7562,0
96,layers.2.conv3,"(14, 135, 0, 0)",27,10000,693,9307,0
97,layers.2.conv3,"(17, 114, 0, 0)",28,10000,10000,0,0
98,layers.2.conv3,"(8, 63, 0, 0)",15,10000,10000,0,0
99,layers.2.conv3,"(8, 112, 0, 0)",15,10000,1061,8939,0
100,layers.2.conv3,"(8, 85, 0, 0)",8,10000,10000,0,0
101,layers.2.conv3,"(4, 59, 0, 0)",13,10000,1130,8870,0
102,layers.2.conv3,"(2, 106, 0, 0)",29,10000,963,9037,0
103,layers.2.conv3,"(13, 15, 0, 0)",24,10000,270,1984,7746
104,layers.2.conv3,"(18, 5, 0, 0)",0,10000,1099,8901,0
105,layers.2.conv3,"(11, 76, 0, 0)",14,10000,928,9072,0
106,layers.2.conv3,"(15, 56, 0, 0)",31,10000,10000,0,0
107,layers.2.conv3,"(0, 99, 0, 0)",10,10000,10000,0,0
108,layers.2.conv3,"(14, 32, 0, 0)",1,10000,1146,8854,0
109,layers.2.conv3,"(2, 109, 0, 0)",11,10000,10000,0,0
110,layers.2.conv3,"(1, 66, 0, 0)",13,10000,2426,7574,0
111,layers.2.conv3,"(14, 83, 0, 0)",17,10000,1464,8536,0
112,layers.2.conv3,"(13, 64, 0, 0)",1,10000,4674,5326,0
113,layers.2.conv3,"(23, 138, 0, 0)",14,10000,10000,0,0
114,layers.2.conv3,"(20, 17, 0, 0)",15,10000,860,9140,0
115,layers.2.conv3,"(6, 5, 0, 0)",8,10000,818,9182,0
