Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(3, 0, 2, 1)",15,10000,73,9925,2
1,conv1,"(7, 0, 2, 0)",5,10000,3,9997,0
2,conv1,"(13, 0, 0, 0)",13,10000,0,9999,1
3,conv1,"(7, 2, 2, 0)",12,10000,0,9999,1
4,conv1,"(13, 0, 1, 2)",17,10000,0,9997,3
5,conv1,"(0, 0, 2, 1)",21,10000,480,9518,2
6,conv1,"(8, 0, 0, 1)",6,10000,0,9999,1
7,conv1,"(2, 1, 0, 1)",22,10000,0,9966,34
8,conv1,"(8, 0, 2, 1)",7,10000,0,9999,1
9,conv1,"(12, 0, 2, 1)",23,10000,2,9996,2
10,conv1,"(6, 2, 0, 0)",14,10000,108,9890,2
11,layer1.0.conv1,"(9, 2, 0, 0)",24,10000,206,9772,22
12,layer1.0.conv1,"(8, 14, 2, 1)",10,10000,0,9999,1
13,layer1.0.conv1,"(11, 11, 0, 2)",17,10000,10000,0,0
14,layer1.0.conv1,"(2, 5, 2, 2)",15,10000,29,9969,2
15,layer1.0.conv1,"(5, 14, 1, 1)",14,10000,0,9999,1
16,layer1.0.conv1,"(10, 1, 0, 0)",20,10000,2,9994,4
17,layer1.0.conv1,"(12, 8, 0, 0)",20,10000,0,9998,2
18,layer1.0.conv1,"(6, 15, 1, 2)",29,10000,10000,0,0
19,layer1.0.conv1,"(4, 8, 0, 0)",16,10000,0,9998,2
20,layer1.0.conv1,"(13, 12, 1, 0)",8,10000,12,9987,1
21,layer1.0.conv1,"(15, 2, 0, 0)",9,10000,10000,0,0
22,layer1.0.conv1,"(5, 13, 2, 0)",24,10000,0,9993,7
23,layer1.0.conv1,"(12, 14, 2, 1)",0,10000,2,9997,1
24,layer1.0.conv1,"(3, 8, 2, 1)",7,10000,25,9975,0
25,layer1.0.conv1,"(9, 13, 0, 1)",0,10000,719,9280,1
26,layer1.0.conv1,"(8, 5, 2, 0)",19,10000,3,9996,1
27,layer1.0.conv1,"(6, 4, 1, 0)",0,10000,38,9962,0
28,layer1.0.conv1,"(10, 15, 0, 0)",23,10000,10000,0,0
29,layer1.0.conv1,"(9, 7, 0, 0)",5,10000,185,9814,1
30,layer1.0.conv1,"(2, 15, 0, 2)",8,10000,10000,0,0
31,layer1.0.conv1,"(4, 15, 2, 0)",16,10000,10000,0,0
32,layer1.0.conv1,"(13, 6, 2, 2)",12,10000,118,9882,0
33,layer1.0.conv1,"(9, 12, 2, 2)",23,10000,170,9825,5
34,layer1.0.conv1,"(14, 14, 0, 0)",14,10000,0,9999,1
35,layer1.0.conv1,"(2, 10, 0, 2)",14,10000,1,9997,2
36,layer1.0.conv1,"(7, 0, 0, 2)",3,10000,6294,3706,0
37,layer1.0.conv1,"(7, 2, 0, 1)",4,10000,6,9994,0
38,layer1.0.conv1,"(7, 8, 2, 1)",13,10000,0,9998,2
39,layer1.0.conv1,"(4, 15, 0, 1)",26,10000,10000,0,0
40,layer1.0.conv1,"(6, 3, 0, 2)",27,10000,87,9911,2
41,layer1.0.conv1,"(11, 13, 1, 1)",3,10000,5,9993,2
42,layer1.0.conv1,"(3, 1, 1, 2)",21,10000,34,9964,2
43,layer1.0.conv1,"(3, 7, 0, 0)",28,10000,21,9964,15
44,layer1.0.conv1,"(4, 13, 0, 1)",29,10000,0,9964,36
45,layer1.0.conv1,"(7, 2, 1, 2)",6,10000,0,9999,1
46,layer1.0.conv1,"(1, 0, 0, 0)",10,10000,656,9343,1
47,layer1.0.conv1,"(13, 15, 1, 0)",25,10000,10000,0,0
48,layer1.0.conv1,"(1, 5, 1, 0)",24,10000,7,9987,6
49,layer1.0.conv1,"(8, 14, 1, 1)",31,10000,0,9981,19
50,layer1.0.conv1,"(4, 6, 1, 0)",3,10000,215,9785,0
51,layer1.0.conv1,"(1, 10, 0, 0)",30,10000,0,9864,136
52,layer1.0.conv1,"(5, 1, 2, 0)",11,10000,0,9998,2
53,layer1.0.conv1,"(2, 2, 2, 0)",25,10000,1,9962,37
54,layer1.0.conv1,"(3, 7, 2, 2)",2,10000,2601,7398,1
55,layer1.0.conv1,"(2, 13, 2, 2)",20,10000,1,9998,1
56,layer1.0.conv1,"(8, 6, 2, 2)",20,10000,111,9887,2
57,layer1.0.conv1,"(7, 8, 1, 0)",19,10000,0,9998,2
58,layer1.0.conv1,"(14, 10, 0, 0)",29,10000,0,9995,5
59,layer1.0.conv1,"(3, 2, 2, 0)",16,10000,23,9975,2
60,layer1.0.conv1,"(4, 11, 0, 0)",23,10000,10000,0,0
61,layer1.0.conv1,"(9, 5, 1, 2)",19,10000,213,9786,1
62,layer1.0.conv1,"(0, 9, 2, 0)",8,10000,145,9854,1
63,layer1.0.conv1,"(8, 3, 0, 2)",9,10000,104,9895,1
64,layer1.0.conv1,"(8, 9, 2, 0)",21,10000,0,9997,3
65,layer1.0.conv1,"(6, 8, 2, 1)",16,10000,0,9999,1
66,layer1.0.conv1,"(1, 2, 2, 1)",17,10000,0,9999,1
67,layer1.0.conv1,"(1, 0, 1, 0)",16,10000,494,9505,1
68,layer1.0.conv1,"(5, 14, 2, 2)",27,10000,0,9999,1
69,layer1.0.conv2,"(0, 3, 0, 2)",9,10000,349,9651,0
70,layer1.0.conv2,"(1, 11, 2, 2)",9,10000,1,9998,1
71,layer1.0.conv2,"(13, 4, 0, 1)",23,10000,0,9966,34
72,layer1.0.conv2,"(1, 11, 0, 2)",15,10000,0,10000,0
73,layer1.0.conv2,"(3, 11, 2, 1)",9,10000,530,9470,0
74,layer1.0.conv2,"(7, 5, 0, 1)",1,10000,4,9995,1
75,layer1.0.conv2,"(5, 10, 1, 2)",15,10000,0,9999,1
76,layer1.0.conv2,"(8, 5, 2, 0)",24,10000,0,9992,8
77,layer1.0.conv2,"(1, 15, 0, 0)",29,10000,10000,0,0
78,layer1.0.conv2,"(11, 9, 0, 0)",1,10000,2415,7585,0
79,layer1.0.conv2,"(6, 12, 1, 1)",4,10000,1,9998,1
80,layer1.0.conv2,"(8, 11, 2, 2)",25,10000,0,9927,73
81,layer1.0.conv2,"(10, 0, 0, 1)",11,10000,155,9843,2
82,layer1.0.conv2,"(8, 1, 0, 2)",27,10000,0,9993,7
83,layer1.0.conv2,"(11, 10, 1, 2)",7,10000,3,9996,1
84,layer1.0.conv2,"(12, 6, 1, 0)",27,10000,0,9998,2
85,layer1.0.conv2,"(0, 6, 1, 1)",4,10000,17,9983,0
86,layer1.0.conv2,"(10, 10, 2, 0)",19,10000,0,10000,0
87,layer1.0.conv2,"(9, 13, 1, 1)",18,10000,0,9999,1
88,layer1.0.conv2,"(4, 6, 1, 2)",24,10000,0,9993,7
89,layer1.0.conv2,"(5, 9, 1, 2)",0,10000,1913,8086,1
90,layer1.0.conv2,"(9, 9, 0, 1)",20,10000,152,9846,2
91,layer1.0.conv2,"(14, 14, 1, 2)",13,10000,0,9999,1
92,layer1.0.conv2,"(15, 5, 2, 0)",18,10000,0,9999,1
93,layer1.0.conv2,"(10, 2, 0, 2)",19,10000,1,9997,2
94,layer1.0.conv2,"(7, 6, 0, 0)",2,10000,4,9996,0
95,layer1.0.conv2,"(7, 15, 2, 0)",29,10000,10000,0,0
96,layer1.0.conv2,"(13, 6, 2, 2)",24,10000,0,9962,38
97,layer1.0.conv2,"(15, 12, 0, 0)",0,10000,3,9997,0
98,layer1.0.conv2,"(3, 13, 0, 0)",29,10000,344,9655,1
99,layer1.0.conv2,"(1, 7, 0, 1)",8,10000,93,9907,0
100,layer1.0.conv2,"(14, 10, 1, 2)",27,10000,0,9995,5
101,layer1.0.conv2,"(14, 5, 2, 1)",28,10000,0,9992,8
102,layer1.0.conv2,"(8, 7, 2, 1)",31,10000,0,9995,5
103,layer1.0.conv2,"(7, 8, 1, 0)",18,10000,0,9999,1
