Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(14, 0, 2, 1)",15,10000,0,9999,1
1,conv1,"(28, 0, 2, 0)",5,10000,6614,3386,0
2,conv1,"(54, 0, 0, 0)",13,10000,1,9998,1
3,conv1,"(29, 2, 2, 0)",12,10000,1,9999,0
4,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(107, 28, 0, 0)",0,10000,10000,0,0
5,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(40, 54, 0, 0)",9,10000,10000,0,0
6,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(55, 43, 0, 0)",24,10000,944,9055,1
7,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(24, 45, 0, 0)",2,10000,10000,0,0
8,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(117, 15, 0, 0)",18,10000,3265,6735,0
9,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(92, 24, 0, 0)",14,10000,893,9106,1
10,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(74, 10, 0, 0)",24,10000,10000,0,0
11,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(71, 58, 0, 0)",23,10000,4040,5959,1
12,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(90, 26, 0, 0)",10,10000,10000,0,0
13,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(62, 20, 0, 0)",17,10000,10000,0,0
14,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(56, 41, 0, 0)",2,10000,10000,0,0
15,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(80, 51, 0, 0)",13,10000,9970,30,0
16,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(80, 27, 0, 0)",29,10000,3167,6832,1
17,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(36, 33, 0, 0)",16,10000,2,9997,1
18,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(109, 51, 0, 0)",8,10000,10000,0,0
19,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(126, 11, 0, 0)",9,10000,10000,0,0
20,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(40, 54, 0, 0)",24,10000,4928,5072,0
