Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,prelayer.0,"(14, 0, 2, 1)",15,10000,0,9998,2
1,prelayer.0,"(28, 0, 2, 0)",5,10000,2194,7806,0
2,prelayer.0,"(54, 0, 0, 0)",13,10000,13,9986,1
3,prelayer.0,"(29, 2, 2, 0)",12,10000,862,9138,0
4,prelayer.0,"(53, 0, 1, 2)",17,10000,0,10000,0
5,prelayer.3,"(0, 20, 2, 1)",21,10000,9985,15,0
6,prelayer.3,"(35, 19, 0, 1)",6,10000,10000,0,0
7,prelayer.3,"(11, 48, 0, 1)",22,10000,0,9999,1
8,prelayer.3,"(33, 5, 2, 1)",7,10000,10000,0,0
9,prelayer.3,"(48, 10, 2, 1)",23,10000,7,9992,1
10,prelayer.3,"(24, 8, 0, 2)",14,10000,38,9962,0
11,prelayer.3,"(37, 10, 0, 0)",24,10000,2,9994,4
12,prelayer.3,"(35, 58, 2, 1)",10,10000,10000,0,0
13,prelayer.3,"(47, 45, 0, 2)",17,10000,2791,7209,0
14,prelayer.3,"(9, 21, 2, 2)",15,10000,9611,389,0
15,prelayer.3,"(20, 59, 1, 1)",14,10000,35,9964,1
16,prelayer.3,"(41, 7, 0, 0)",20,10000,635,9365,0
17,prelayer.3,"(51, 34, 0, 0)",20,10000,1674,8326,0
18,prelayer.3,"(27, 63, 1, 2)",29,10000,384,9616,0
19,prelayer.3,"(18, 33, 0, 0)",16,10000,6270,3730,0
20,prelayer.3,"(54, 51, 1, 0)",8,10000,10000,0,0
21,prelayer.3,"(63, 11, 0, 0)",9,10000,10000,0,0
22,prelayer.3,"(20, 54, 2, 0)",24,10000,0,9985,15
23,prelayer.3,"(48, 59, 2, 1)",0,10000,10000,0,0
24,prelayer.3,"(14, 34, 2, 1)",7,10000,10000,0,0
25,prelayer.3,"(37, 55, 0, 1)",0,10000,10000,0,0
26,prelayer.3,"(33, 22, 2, 0)",19,10000,1809,8191,0
27,prelayer.3,"(25, 19, 1, 0)",0,10000,10000,0,0
28,prelayer.3,"(41, 62, 0, 0)",23,10000,0,9977,23
29,prelayer.3,"(39, 30, 0, 0)",5,10000,10000,0,0
30,prelayer.3,"(10, 62, 0, 2)",8,10000,10000,0,0
31,prelayer.3,"(16, 60, 2, 0)",16,10000,56,9943,1
32,prelayer.3,"(54, 27, 2, 2)",12,10000,462,9538,0
33,prelayer.3,"(39, 51, 2, 2)",23,10000,2770,7230,0
34,prelayer.3,"(56, 57, 0, 0)",14,10000,0,9999,1
35,prelayer.3,"(8, 43, 0, 2)",14,10000,222,9778,0
36,prelayer.3,"(28, 0, 0, 2)",3,10000,10000,0,0
37,prelayer.3,"(29, 8, 0, 1)",4,10000,10000,0,0
38,prelayer.3,"(30, 35, 2, 1)",13,10000,0,10000,0
39,prelayer.3,"(16, 60, 0, 1)",26,10000,0,9954,46
40,prelayer.3,"(24, 12, 0, 2)",27,10000,1,9996,3
41,prelayer.3,"(45, 54, 1, 1)",3,10000,10000,0,0
42,prelayer.3,"(12, 7, 1, 2)",21,10000,162,9837,1
43,prelayer.3,"(13, 31, 0, 0)",28,10000,166,9834,0
44,prelayer.3,"(17, 54, 0, 1)",29,10000,65,9929,6
45,prelayer.3,"(31, 9, 1, 2)",6,10000,10000,0,0
46,prelayer.3,"(6, 1, 0, 0)",10,10000,10000,0,0
47,prelayer.3,"(52, 62, 1, 0)",25,10000,0,9765,235
48,prelayer.3,"(7, 21, 1, 0)",24,10000,3948,6052,0
49,prelayer.3,"(33, 58, 1, 1)",31,10000,792,9206,2
50,prelayer.3,"(19, 24, 1, 0)",3,10000,10000,0,0
51,prelayer.3,"(7, 40, 0, 0)",30,10000,0,9375,625
52,prelayer.3,"(20, 7, 2, 0)",11,10000,10000,0,0
53,prelayer.3,"(8, 8, 2, 0)",25,10000,0,9976,24
54,prelayer.3,"(15, 31, 2, 2)",2,10000,10000,0,0
55,prelayer.3,"(10, 53, 2, 2)",20,10000,8,9991,1
56,prelayer.3,"(33, 26, 2, 2)",20,10000,0,9999,1
57,prelayer.3,"(30, 33, 1, 0)",19,10000,133,9867,0
58,prelayer.3,"(58, 40, 0, 0)",29,10000,0,9992,8
59,prelayer.3,"(12, 9, 2, 0)",16,10000,1,9998,1
60,prelayer.3,"(16, 44, 0, 0)",23,10000,1904,8096,0
61,prelayer.3,"(36, 20, 1, 2)",19,10000,9997,3,0
62,prelayer.3,"(1, 38, 2, 0)",8,10000,10000,0,0
63,prelayer.3,"(33, 14, 0, 2)",9,10000,10000,0,0
64,prelayer.3,"(34, 36, 2, 0)",21,10000,0,9997,3
65,prelayer.3,"(26, 33, 2, 1)",16,10000,425,9574,1
66,prelayer.3,"(6, 11, 2, 1)",17,10000,744,9256,0
67,prelayer.3,"(5, 0, 1, 0)",16,10000,31,9969,0
68,prelayer.3,"(20, 56, 2, 2)",27,10000,256,9741,3
69,prelayer.3,"(1, 14, 0, 2)",9,10000,10000,0,0
70,prelayer.3,"(4, 47, 2, 2)",9,10000,10000,0,0
71,prelayer.3,"(55, 16, 0, 1)",23,10000,869,9131,0
72,prelayer.3,"(5, 45, 0, 2)",15,10000,1,9999,0
73,prelayer.3,"(13, 45, 2, 1)",9,10000,10000,0,0
74,prelayer.3,"(30, 20, 0, 1)",1,10000,10000,0,0
75,prelayer.3,"(22, 42, 1, 2)",15,10000,1428,8572,0
76,prelayer.3,"(34, 20, 2, 0)",24,10000,9938,62,0
77,prelayer.3,"(4, 60, 0, 0)",29,10000,2,9997,1
78,prelayer.3,"(44, 39, 0, 0)",1,10000,10000,0,0
79,prelayer.3,"(24, 51, 1, 1)",4,10000,10000,0,0
80,prelayer.3,"(35, 44, 2, 2)",25,10000,1867,8128,5
81,prelayer.3,"(42, 3, 0, 1)",11,10000,10000,0,0
82,prelayer.3,"(33, 4, 0, 2)",27,10000,12,9959,29
83,prelayer.3,"(44, 40, 1, 2)",7,10000,10000,0,0
84,prelayer.3,"(49, 24, 1, 0)",27,10000,0,9989,11
85,prelayer.3,"(0, 25, 1, 1)",4,10000,10000,0,0
86,prelayer.3,"(42, 40, 2, 0)",19,10000,13,9986,1
87,prelayer.3,"(39, 52, 1, 1)",18,10000,0,10000,0
88,prelayer.3,"(16, 24, 1, 2)",24,10000,0,9999,1
89,prelayer.3,"(22, 38, 1, 2)",0,10000,10000,0,0
90,prelayer.3,"(38, 36, 0, 1)",20,10000,0,9998,2
91,prelayer.3,"(59, 56, 1, 2)",13,10000,1978,8022,0
92,prelayer.3,"(60, 21, 2, 0)",18,10000,9929,71,0
93,prelayer.3,"(42, 11, 0, 2)",19,10000,660,9340,0
94,prelayer.3,"(28, 25, 0, 0)",2,10000,10000,0,0
95,prelayer.3,"(31, 60, 2, 0)",29,10000,4,9996,0
96,prelayer.3,"(53, 24, 2, 2)",24,10000,0,9979,21
97,prelayer.3,"(63, 51, 0, 0)",0,10000,10000,0,0
98,prelayer.3,"(13, 54, 0, 0)",29,10000,0,9995,5
99,prelayer.3,"(6, 31, 0, 1)",8,10000,10000,0,0
100,prelayer.3,"(59, 40, 1, 2)",27,10000,0,9992,8
101,prelayer.6,"(140, 57, 0, 2)",30,10000,61,123,9816
102,prelayer.6,"(115, 33, 0, 2)",17,10000,0,10000,0
103,prelayer.6,"(133, 62, 2, 0)",17,10000,106,9894,0
104,prelayer.6,"(112, 9, 2, 1)",15,10000,9,9990,1
105,prelayer.6,"(69, 42, 1, 2)",5,10000,10000,0,0
106,prelayer.6,"(35, 19, 0, 1)",9,10000,10000,0,0
107,prelayer.6,"(180, 27, 0, 1)",26,10000,72,9928,0
