Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1.0,"(14, 0, 2, 1)",15,10000,10000,0,0
1,conv1.0,"(28, 0, 2, 0)",5,10000,10000,0,0
2,conv1.0,"(54, 0, 0, 0)",13,10000,866,9131,3
3,conv2_x.0.residual_function.0,"(29, 3, 2, 0)",26,10000,0,9982,18
4,conv2_x.0.residual_function.0,"(28, 57, 2, 1)",0,10000,10000,0,0
5,conv2_x.0.residual_function.0,"(20, 54, 1, 1)",9,10000,10000,0,0
6,conv2_x.0.residual_function.0,"(27, 43, 0, 0)",24,10000,10000,0,0
7,conv2_x.0.residual_function.0,"(12, 45, 1, 2)",16,10000,0,9999,1
8,conv2_x.0.residual_function.0,"(5, 58, 2, 0)",24,10000,10000,0,0
9,conv2_x.0.residual_function.0,"(10, 37, 2, 2)",23,10000,10000,0,0
10,conv2_x.0.residual_function.0,"(24, 8, 0, 2)",14,10000,10000,0,0
11,conv2_x.0.residual_function.0,"(37, 10, 0, 0)",24,10000,1472,8527,1
12,conv2_x.0.residual_function.0,"(35, 58, 2, 1)",10,10000,10000,0,0
13,conv2_x.0.residual_function.0,"(47, 45, 0, 2)",17,10000,0,9998,2
14,conv2_x.0.residual_function.0,"(9, 21, 2, 2)",15,10000,10000,0,0
15,conv2_x.0.residual_function.0,"(20, 59, 1, 1)",14,10000,3257,6742,1
16,conv2_x.0.residual_function.0,"(41, 7, 0, 0)",20,10000,14,9981,5
17,conv2_x.0.residual_function.0,"(51, 34, 0, 0)",20,10000,0,9998,2
18,conv2_x.0.residual_function.0,"(27, 63, 1, 2)",29,10000,10000,0,0
19,conv2_x.0.residual_function.0,"(18, 33, 0, 0)",16,10000,0,9998,2
20,conv2_x.0.residual_function.0,"(54, 51, 1, 0)",8,10000,10000,0,0
21,conv2_x.0.residual_function.0,"(63, 11, 0, 0)",9,10000,10000,0,0
22,conv2_x.0.residual_function.0,"(20, 54, 2, 0)",24,10000,933,9063,4
23,conv2_x.0.residual_function.0,"(48, 59, 2, 1)",0,10000,10000,0,0
24,conv2_x.0.residual_function.0,"(14, 34, 2, 1)",7,10000,10000,0,0
25,conv2_x.0.residual_function.0,"(37, 55, 0, 1)",0,10000,10000,0,0
26,conv2_x.0.residual_function.0,"(33, 22, 2, 0)",19,10000,10000,0,0
27,conv2_x.0.residual_function.0,"(25, 19, 1, 0)",0,10000,10000,0,0
28,conv2_x.0.residual_function.0,"(41, 62, 0, 0)",23,10000,10000,0,0
29,conv2_x.0.residual_function.0,"(39, 30, 0, 0)",5,10000,10000,0,0
30,conv2_x.0.residual_function.0,"(10, 62, 0, 2)",8,10000,10000,0,0
31,conv2_x.0.residual_function.0,"(16, 60, 2, 0)",16,10000,149,9850,1
32,conv2_x.0.residual_function.0,"(54, 27, 2, 2)",12,10000,0,9998,2
33,conv2_x.0.residual_function.0,"(39, 51, 2, 2)",23,10000,10000,0,0
34,conv2_x.0.residual_function.0,"(56, 57, 0, 0)",14,10000,10000,0,0
35,conv2_x.0.residual_function.0,"(8, 43, 0, 2)",14,10000,10000,0,0
36,conv2_x.0.residual_function.0,"(28, 0, 0, 2)",3,10000,10000,0,0
37,conv2_x.0.residual_function.0,"(29, 8, 0, 1)",4,10000,10000,0,0
38,conv2_x.0.residual_function.0,"(30, 35, 2, 1)",13,10000,2702,7298,0
39,conv2_x.0.residual_function.0,"(16, 60, 0, 1)",26,10000,0,9985,15
40,conv2_x.0.residual_function.0,"(24, 12, 0, 2)",27,10000,10000,0,0
41,conv2_x.0.residual_function.0,"(45, 54, 1, 1)",3,10000,10000,0,0
42,conv2_x.0.residual_function.0,"(12, 7, 1, 2)",21,10000,6,9991,3
43,conv2_x.0.residual_function.0,"(13, 31, 0, 0)",28,10000,2,9996,2
44,conv2_x.0.residual_function.0,"(17, 54, 0, 1)",29,10000,724,9274,2
45,conv2_x.0.residual_function.0,"(31, 9, 1, 2)",6,10000,10000,0,0
46,conv2_x.0.residual_function.0,"(6, 1, 0, 0)",10,10000,10000,0,0
