Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(14, 0, 2, 1)",15,12630,0,3072,0
1,conv1,"(28, 0, 2, 0)",5,12630,0,3072,0
2,conv1,"(54, 0, 0, 0)",13,12630,0,3072,0
3,conv1,"(29, 2, 2, 0)",12,12630,0,3072,0
4,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(107, 28, 0, 0)",0,12630,3072,0,0
5,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(40, 54, 0, 0)",9,12630,3072,0,0
6,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(55, 43, 0, 0)",24,12630,579,2493,0
7,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(24, 45, 0, 0)",2,12630,3072,0,0
8,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(117, 15, 0, 0)",18,12630,181,2891,0
9,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(92, 24, 0, 0)",14,12630,6,3066,0
10,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(74, 10, 0, 0)",24,12630,14,3058,0
11,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(71, 58, 0, 0)",23,12630,30,3042,0
12,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(90, 26, 0, 0)",10,12630,3071,1,0
13,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(62, 20, 0, 0)",17,12630,449,2623,0
14,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(56, 41, 0, 0)",2,12630,3071,1,0
15,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(80, 51, 0, 0)",13,12630,13,3059,0
16,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(80, 27, 0, 0)",29,12630,8,3064,0
17,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(36, 33, 0, 0)",16,12630,6,3066,0
18,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(109, 51, 0, 0)",8,12630,3071,1,0
19,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(126, 11, 0, 0)",9,12630,3071,1,0
20,features.dense_block_layer_0.bottle_neck_layer_0.bottle_neck.2,"(40, 54, 0, 0)",24,12630,0,3072,0
