Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,conv1,"(3, 0, 2, 1)",15,12630,0,12630,0
1,conv1,"(7, 0, 2, 0)",5,12630,1800,10830,0
2,conv1,"(13, 0, 0, 0)",13,12630,4,12626,0
3,conv1,"(7, 2, 2, 0)",12,12630,1797,10833,0
4,conv1,"(13, 0, 1, 2)",17,12630,0,12630,0
5,conv1,"(0, 0, 2, 1)",21,12630,0,12593,37
6,conv1,"(8, 0, 0, 1)",6,12630,1,12629,0
7,conv1,"(2, 1, 0, 1)",22,12630,0,12610,20
8,conv1,"(8, 0, 2, 1)",7,12630,0,12630,0
9,conv1,"(12, 0, 2, 1)",23,12630,0,12530,100
10,conv1,"(6, 2, 0, 0)",14,12630,0,12630,0
11,conv1,"(9, 0, 0, 0)",24,12630,0,10229,2401
12,conv1,"(8, 1, 2, 1)",10,12630,0,12630,0
13,conv1,"(11, 1, 0, 2)",17,12630,358,12272,0
14,conv1,"(2, 2, 2, 0)",15,12630,0,12630,0
15,conv1,"(5, 1, 1, 1)",14,12630,0,12630,0
16,conv1,"(10, 0, 0, 0)",20,12630,0,12630,0
17,conv1,"(12, 1, 0, 0)",20,12630,0,12622,8
18,conv1,"(6, 2, 1, 1)",29,12630,0,12602,28
19,conv1,"(4, 1, 0, 0)",16,12630,0,12629,1
20,conv1,"(13, 2, 1, 1)",14,12630,0,12630,0
21,conv1,"(4, 2, 1, 0)",3,12630,0,12630,0
22,conv1,"(3, 0, 2, 0)",27,12630,0,12486,144
23,conv1,"(2, 1, 1, 2)",29,12630,0,12566,64
24,conv1,"(8, 2, 0, 2)",7,12630,2,12628,0
25,conv1,"(8, 2, 1, 0)",18,12630,0,12630,0
26,conv1,"(13, 0, 1, 0)",16,12630,0,12629,1
27,layer1.0.conv1,"(5, 3, 2, 1)",12,12630,0,12630,0
28,layer1.0.conv1,"(4, 11, 0, 2)",0,12630,421,12209,0
29,layer1.0.conv1,"(10, 15, 0, 0)",23,12630,1621,11004,5
30,layer1.0.conv1,"(9, 7, 0, 0)",5,12630,2280,10350,0
31,layer1.0.conv1,"(2, 15, 0, 2)",8,12630,1856,10774,0
