Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,features.0,"(14, 0, 2, 1)",15,12630,0,12630,0
1,features.4,"(57, 17, 2, 0)",5,12630,12630,0,0
2,features.4,"(108, 4, 0, 0)",13,12630,175,12455,0
3,features.4,"(59, 3, 2, 0)",26,12630,7021,5609,0
4,features.4,"(56, 57, 2, 1)",0,12630,12630,0,0
5,features.4,"(40, 54, 1, 1)",9,12630,12630,0,0
6,features.4,"(55, 43, 0, 0)",24,12630,19,12611,0
7,features.4,"(24, 45, 1, 2)",16,12630,1639,10991,0
8,features.4,"(11, 58, 2, 0)",24,12630,0,12629,1
9,features.4,"(20, 37, 2, 2)",23,12630,6151,6479,0
10,features.4,"(49, 8, 0, 2)",14,12630,3032,9598,0
11,features.4,"(74, 10, 0, 0)",24,12630,38,12589,3
12,features.4,"(71, 58, 2, 1)",10,12630,12630,0,0
13,features.4,"(94, 45, 0, 2)",17,12630,1127,11503,0
14,features.4,"(18, 21, 2, 2)",15,12630,2128,10502,0
15,features.4,"(41, 59, 1, 1)",14,12630,985,11645,0
16,features.4,"(83, 7, 0, 0)",20,12630,1139,11491,0
17,features.4,"(102, 34, 0, 0)",20,12630,0,12630,0
18,features.4,"(54, 63, 1, 2)",29,12630,806,11824,0
19,features.4,"(36, 33, 0, 0)",16,12630,590,12040,0
20,features.4,"(109, 51, 1, 0)",8,12630,12630,0,0
21,features.4,"(126, 11, 0, 0)",9,12630,12630,0,0
22,features.4,"(40, 54, 2, 0)",24,12630,912,11718,0
23,features.4,"(97, 59, 2, 1)",0,12630,12630,0,0
24,features.4,"(29, 34, 2, 1)",7,12630,12630,0,0
25,features.4,"(75, 55, 0, 1)",0,12630,12630,0,0
26,features.4,"(67, 22, 2, 0)",19,12630,227,12403,0
27,features.4,"(50, 19, 1, 0)",0,12630,12630,0,0
28,features.4,"(82, 62, 0, 0)",23,12630,706,11924,0
29,features.4,"(78, 30, 0, 0)",5,12630,12630,0,0
30,features.4,"(21, 62, 0, 2)",8,12630,12630,0,0
31,features.4,"(32, 60, 2, 0)",16,12630,30,12600,0
32,features.4,"(108, 27, 2, 2)",12,12630,1254,11376,0
33,features.4,"(79, 51, 2, 2)",23,12630,1045,11585,0
34,features.4,"(112, 57, 0, 0)",14,12630,12312,318,0
35,features.4,"(16, 43, 0, 2)",14,12630,1002,11628,0
36,features.4,"(56, 0, 0, 2)",3,12630,12630,0,0
37,features.4,"(58, 8, 0, 1)",4,12630,12630,0,0
38,features.4,"(60, 35, 2, 1)",13,12630,11630,1000,0
39,features.4,"(33, 60, 0, 1)",26,12630,90,12540,0
40,features.4,"(48, 12, 0, 2)",27,12630,0,12627,3
41,features.4,"(90, 54, 1, 1)",3,12630,12630,0,0
42,features.4,"(25, 7, 1, 2)",21,12630,2658,9972,0
43,features.4,"(27, 31, 0, 0)",28,12630,0,12624,6
44,features.8,"(71, 108, 0, 1)",29,12630,0,12630,0
45,features.8,"(127, 19, 1, 2)",6,12630,12630,0,0
46,features.8,"(25, 3, 0, 0)",10,12630,12630,0,0
47,features.8,"(208, 124, 1, 0)",25,12630,351,12279,0
48,features.8,"(30, 42, 1, 0)",24,12630,1,12623,6
49,features.8,"(135, 116, 1, 1)",31,12630,0,12630,0
50,features.8,"(79, 48, 1, 0)",3,12630,12630,0,0
51,features.8,"(31, 80, 0, 0)",30,12630,118,12493,19
52,features.8,"(80, 14, 2, 0)",11,12630,12630,0,0
53,features.8,"(35, 17, 2, 0)",25,12630,0,12624,6
